Gene_Symbol,logFC,PValue
GSTO2,1.697869,3.42E-08
TMEM74B,1.695263,3.53E-12
STRA6,1.694676,1.22E-06
NR2F1,1.686388897,1.40E-07
RPL35,1.685909441,5.93E-41
DSCC1,1.683949,9.53E-34
ASPM,1.681801,2.97E-26
RPS29,1.680840077,9.20E-46
HJURP,1.677496,1.40E-31
LY6H,1.676124712,1.76E-05
IRX5,1.673644221,1.48E-07
CEP152,1.670025891,3.51E-20
RPL9,1.668336123,1.85E-39
CHAF1A,1.665564528,8.98E-44
ZNF90,1.663936423,3.70E-17
LRBA,1.663407362,3.82E-19
RPS16,1.661392552,1.69E-46
RPL38,1.659165735,3.64E-44
RPPH1,1.658974,2.01E-11
RPL18,1.657576568,4.84E-42
SLC27A2,1.654049519,4.13E-15
PLK4,1.653406879,3.93E-36
HMGB2,1.652199111,4.91E-36
RPS15,1.650986196,3.12E-43
SNHG1,1.64798668,9.74E-28
SNORD3A,1.647363,7.03E-08
PAICS,1.646662429,3.43E-50
KIF20A,1.645463623,2.31E-31
NME1-NME2,1.644661051,1.56E-47
RPS5,1.64344859,2.44E-35
RPLP1,1.640070775,1.23E-43
RPL13A,1.639506051,5.46E-40
SNRPD2,1.639424034,6.24E-49
RNU4-2,1.639403058,1.53E-03
LINC00221,1.639162,3.98E-09
TYMS,1.63481084,1.00E-35
RPL29,1.634021328,1.06E-32
DCTPP1,1.633486,7.75E-60
SLC29A2,1.632434491,3.51E-18
RPL39L,1.627701,1.06E-20
RPLP2,1.621959191,1.38E-39
PLK1,1.620618923,1.47E-39
CSRP2,1.620414232,9.85E-22
RPLP0,1.610514922,1.48E-47
EIF4EBP1,1.610492146,7.66E-47
HIST1H2BH,1.608895537,6.48E-10
HRH3,1.607513456,2.67E-20
CENPM,1.605169,1.50E-32
SPC25,1.59752,1.03E-30
FAM64A,1.594292,1.01E-27
PRDX4,1.592208694,1.44E-54
RPL13AP20,1.590139,1.88E-21
CENPW,1.588634,3.46E-30
RPL37,1.583970339,1.61E-36
GMDS,1.583718431,5.32E-17
PHF21B,1.582671,3.94E-24
TNFRSF10B,1.581798804,3.49E-16
RPL13,1.581583669,4.89E-36
EFS,1.580185837,9.88E-13
CCNB1IP1,1.577492,4.83E-24
TRIM59,1.577264,2.16E-33
CDC20,1.577009407,3.82E-22
GMPS,1.575926909,1.84E-52
RAD51,1.573481851,1.32E-32
TRIP13,1.573478093,2.28E-41
RPS19,1.572416801,9.30E-43
CBLN2,1.570265,1.43E-06
TPX2,1.566332356,1.15E-33
MAB21L2,1.565894023,9.21E-11
RPS3,1.565518506,2.85E-30
MELK,1.562500619,1.73E-30
RPL24,1.56154932,4.22E-42
PARPBP,1.561517,2.00E-21
CCNA2,1.558881798,2.13E-32
PBK,1.557315,3.97E-24
CDC25A,1.557300328,6.67E-31
RPL35A,1.557298762,4.29E-36
HAPLN4,1.556765,1.31E-11
PDZRN3,1.55629832,9.35E-09
PMCH,1.553776658,1.17E-21
RPL27A,1.552128497,6.42E-46
CBLN1,1.551048853,8.47E-14
BZW2,1.549705398,1.85E-47
ALPL,1.537171092,1.15E-07
BUB1B,1.533939859,3.90E-29
ARSG,1.533040045,2.24E-11
NRGN,1.527217797,8.25E-11
RAB33A,1.524927658,4.34E-41
GAS5,1.524751887,2.09E-20
RPSA,1.524118228,1.47E-32
IGF2BP1,1.524009759,2.49E-11
CBS,1.522237475,2.47E-20
TENM4,1.520258884,5.50E-09
RPS27,1.518713478,7.99E-39
YEATS4,1.516522568,9.14E-11
BUB1,1.516447543,1.00E-27
NOL10,1.515851,1.66E-10
MIS18A,1.511546,3.99E-37
SLC35F2,1.504406,1.71E-11
PIF1,1.499895,8.54E-19
MRPL21,1.499818,5.27E-17
ARHGAP11A,1.498847341,6.32E-20
CDC25C,1.498298736,2.38E-23
TEAD4,1.49732918,4.29E-17
PAGE5,1.496881,5.08E-03
MIR17HG,1.496716,1.35E-11
SSR4,1.495251944,1.82E-56
C4orf46,1.494221,6.06E-36
RPS24,1.492026327,3.60E-30
CITED1,1.489199606,1.67E-12
FAM86C2P,1.487273,1.93E-16
ASPDH,1.486596,1.13E-10
MCM6,1.486400994,1.25651E-39
ZFAS1,1.486133,3.15E-24
STK33,1.485552,3.71E-16
SLC35G1,1.484081,3.83E-10
LDHB,1.482983183,1.52E-50
FLNC,1.482495858,6.07E-09
BOLA2,1.481767,3.24E-19
UNG,1.481246272,5.42E-54
RPL32,1.480419651,3.85E-28
CEP55,1.480219,1.56E-20
RPS4Y1,1.478016799,1.18E-02
KIF11,1.472770544,4.72E-23
TMA16,1.472356,2.15E-27
DHFR,1.470790948,3.53E-33
FAM72B,1.469915,9.11E-18
CENPH,1.469684,4.24E-30
MKI67,1.46919949,6.07E-19
MPV17L,1.466923,4.04E-13
UBE2T,1.465627623,1.64E-43
PCNA,1.463421679,2.89E-41
NME4,1.463125781,1.35E-48
NUF2,1.462786,1.25E-23
RPL31,1.459803323,1.10E-32
SLC25A5,1.459191242,1.16E-60
HMGA1,1.458898192,1.47E-48
POLA2,1.457340423,4.21E-45
RPS4X,1.45715373,1.61E-32
FOXM1,1.456536598,3.89E-24
POC1A,1.454785136,5.60E-25
SLC12A8,1.453891,1.20E-07
SNRPF,1.452444031,1.87E-54
MYOZ3,1.450023,2.03E-11
ZNF121,1.446791999,2.25E-32
CDKN2A,1.444613864,2.17E-07
IGFBP2,1.443795576,3.19E-16
RPS25,1.441499884,1.07E-28
H2AFZ,1.441361832,1.33E-54
RPL34,1.440581473,3.00E-35
PDK1,1.438845271,9.06E-19
PDGFRA,1.438088137,1.21E-07
HBA1,1.436976005,1.62E-05
RPS28,1.435406886,1.20E-31
PKMYT1,1.433877141,2.45E-28
SNRPD1,1.432383634,2.03E-49
CHODL,1.431775,1.40E-05
KIF18B,1.431549,1.25E-17
ZNF239,1.430159624,7.61E-23
OIP5,1.430037659,6.30E-21
RAD51AP1,1.429035048,2.81E-23
RPL10,1.426482385,2.16E-46
CALN1,1.425914,1.67E-07
SLCO5A1,1.425615,2.53E-12
RPSAP15,1.424301,5.92E-17
HSD17B6,1.422162778,5.93E-09
TKT,1.421124277,3.24E-30
CDCA7,1.418869,4.16E-24
NUDT1,1.418656427,1.28E-24
CHEK2,1.416144021,7.01E-27
GINS1,1.415380645,9.59E-33
TACC3,1.414138036,7.90E-37
GSG2,1.413523,2.00E-13
NETO2,1.411434,1.29E-20
DTL,1.410598,1.64E-24
FAM101A,1.409613,2.92E-12
LRR1,1.409484,8.84E-33
ASF1B,1.402786,3.13E-24
FANCI,1.399335,6.48E-28
LDHA,1.395347848,9.66E-30
THADA,1.394731,9.67E-08
MTFP1,1.392655,1.37E-21
RPL7A,1.391368913,1.75E-33
RASL10B,1.391154,3.12E-22
RPL12,1.389790112,2.40E-31
SNHG7,1.386742,2.04E-20
RPL23,1.386636309,5.68E-32
NDC80,1.383512409,5.65E-26
IGSF9,1.379865,1.32E-17
RPL28,1.379649753,5.28E-40
RPS14,1.378638807,9.78E-32
ATF5,1.37551146,1.55E-12
ECT2,1.374806312,3.11E-27
KLF15,1.374002099,1.41E-09
EEF1G,1.372499877,7.46E-39
RRP9,1.368936081,1.13E-25
APEX1,1.368830235,1.46E-53
RPS9,1.367357306,2.75E-36
GNB2L1,1.367234102,3.10E-29
CMBL,1.36671,1.97E-16
FAM162B,1.366595,9.03E-06
RPS10,1.365733239,3.53E-33
PCOLCE,1.362823243,1.10E-15
RPL41,1.361657597,1.65E-36
PTRHD1,1.360107,1.84E-25
KIF23,1.359938434,5.53E-23
ESCO2,1.359766,1.29E-15
E2F3,1.358610338,8.83E-29
EME1,1.356178,1.16E-16
BAI1,1.355694277,7.43E-15
SIX3,1.353447969,1.95E-06
GMNN,1.353111646,2.71E-31
SCARNA13,1.352408,3.17E-08
SUV39H2,1.349845,5.00E-25
RRM1,1.349301776,4.05E-42
WDR62,1.348803,3.75E-23
MDK,1.345838603,6.72E-31
RPL14,1.343582302,1.39E-27
RPS18,1.343534119,8.31E-27
EBP,1.342520834,3.99E-49
RPS20,1.342237188,1.74E-38
KRT18,1.340033758,2.61E-07
ARC,1.339719174,7.22E-09
POLD1,1.339572579,5.24E-29
ZNF93,1.339559,5.98E-22
POLQ,1.338624284,5.63E-11
TANC2,1.337730973,1.55E-07
SNRPG,1.337145035,5.17E-37
NEK2,1.336861451,3.15E-18
ZWINT,1.33685946,2.91E-25
CHD3,1.336576607,8.95E-06
SNHG8,1.336482,5.96E-19
RPL37A,1.336326335,7.01E-28
RPS6,1.333161714,4.02E-27
GPR125,1.333021,7.49E-28
ITPRIPL1,1.331524,1.08E-19
NPM3,1.331489699,8.83E-28
KIFC1,1.331321734,8.42E-21
RUVBL1,1.330383224,4.61E-55
PPEF1,1.329280628,1.53E-07
CEACAM19,1.329117,8.77E-07
FAM72A,1.328718,1.28E-15
B3GNT5,1.327685,1.43E-15
ZNF703,1.325227,3.03E-10
TST,1.323951714,7.26E-17
ALYREF,1.323741448,3.25E-39
RPS23,1.320200147,9.90E-35
ZNF581,1.320032,7.10E-29
DDX39A,1.319667683,1.93E-51
CDC42EP3,1.319567883,5.01E-11
F12,1.318883219,3.34E-18
PYCR1,1.315135469,1.74E-48
C17orf89,1.313956,1.17E-30
MLLT10P1,1.313872,9.74E-10
AEN,1.313126,6.60E-31
EBPL,1.312863,1.25E-24
FBXO5,1.312376034,2.32E-27
SAC3D1,1.312216419,8.47E-26
DBF4,1.311993889,7.81E-27
FAM201A,1.31044,8.03E-09
PUS7,1.308461,2.70E-19
MIR7-3HG,1.307825,4.27E-11
PTPN5,1.306627,3.25E-06
PAM16,1.305405145,3.78E-42
RPL5,1.305397309,7.43E-29
SLC25A6,1.304365178,1.51E-28
RTKN2,1.304209,1.76E-16
EXOSC5,1.303572,1.41E-28
PRR22,1.3033,5.62E-09
BMP7,1.30233144,6.05E-06
SNHG16,1.301701,2.65E-41
WDR43,1.301619786,2.88E-13
SLIRP,1.301351,6.77E-36
SNRPB,1.301245718,4.50E-48
QPRT,1.300994036,3.50E-12
LSM4,1.300023776,2.06E-48
FAM111B,1.297513,3.68E-13
SAP30,1.297415185,9.81E-40
TTK,1.293042674,1.33E-19
E2F8,1.292753,6.44E-09
ATIC,1.291926953,4.43E-39
RFC4,1.291664463,1.29E-47
SERPINF1,1.29093268,5.71E-10
SHMT2,1.289421453,3.25E-23
SOX11,1.289048564,1.85E-22
CNTD2,1.287047,1.34E-09
SIVA1,1.285075794,2.03E-34
HSPE1,1.284984036,2.81E-43
VWCE,1.284209,7.99E-11
HSPD1,1.282226437,3.17E-40
LSM7,1.281828,4.03E-51
DLK1,1.279123922,4.10E-03
RPL27,1.278892321,2.09E-28
H1FX,1.277457906,4.46E-34
RTN4RL2,1.276903,1.99E-10
ZBTB12,1.275447,4.33E-34
GTSE1,1.27418,2.39E-21
DEPDC1,1.273396,8.09E-13
MRPL23,1.272746617,3.65E-35
METTL1,1.272400228,1.85E-11
PPA1,1.267411403,2.46E-30
UBA52,1.266636327,1.06E-40
ESPL1,1.266395818,6.04E-20
AMH,1.266104622,4.69E-07
FAM65C,1.264163,4.42E-06
PRTFDC1,1.261374,1.55E-24
UXT,1.259833884,2.23E-42
PTGIS,1.258685242,2.12E-09
NUSAP1,1.257277452,1.14E-19
MRPL52,1.256242,1.14E-40
ALKBH2,1.255508,2.77E-38
NDUFB11,1.255439,4.76E-40
IMPDH2,1.254154194,1.88E-22
MRPL12,1.253292773,3.06E-36
GDAP1L1,1.252964,4.68E-26
SCAI,1.252769,1.77E-07
SIX3-AS1,1.251059,3.76E-06
NOB1,1.250678998,1.59E-32
RPL17,1.250588885,7.12E-27
RANBP1,1.249893733,5.44E-54
MCM5,1.249764354,1.84E-32
CAMKV,1.246555,2.01E-10
ATAD2,1.245083184,8.41E-20
CHAC2,1.244973,1.29E-10
MRPL3,1.243165884,4.43E-57
HIST3H2A,1.241859,1.82E-21
TRIB2,1.240787322,4.45E-05
CD6,-1.124402895,5.05059E-06
RNF207,-1.126317,7.48129E-17
PLSCR4,-1.127329,6.42045E-09
MST1R,-1.127502228,1.21959E-09
HLA-DRA,-1.128071571,2.74756E-08
KLHDC9,-1.128585,8.04032E-20
IL2RB,-1.129114644,6.60122E-09
HLA-DPA1,-1.130202223,1.85517E-08
PDGFD,-1.131077,2.70465E-11
ICAM1,-1.131709074,1.48883E-10
MINK1,-1.131951856,4.86886E-21
PRPH2,-1.132201022,2.37249E-08
REEP1,-1.132337,2.86712E-22
CPXM2,-1.132341,4.56902E-08
ARPP21,-1.134680241,8.44272E-08
TEKT3,-1.135585,1.05539E-09
FAM131C,-1.136216,2.54849E-11
PIK3R5,-1.13654568,5.44319E-11
INPP4B,-1.136711263,2.19917E-11
SERINC1,-1.13754,2.47578E-38
PRKAG2,-1.13764,1.2921E-30
C20orf194,-1.137691026,6.58576E-48
TPT1-AS1,-1.138135,2.53034E-34
ENDOD1,-1.138798357,3.05626E-13
SPTB,-1.139169402,6.28825E-16
GRAMD3,-1.139613,2.51338E-09
CYBRD1,-1.140804,4.18186E-10
CPNE5,-1.14102,2.07298E-12
TUBA4A,-1.141365807,5.79233E-07
TFEB,-1.143320156,3.74638E-16
CELF4,-1.143747,3.71091E-20
FAM102B,-1.144141,2.10279E-30
FSTL5,-1.14462,0.000048733
GOLGA8I,-1.145868,2.18869E-13
SLC13A4,-1.145945774,4.55896E-10
RGMB,-1.146738,4.08739E-27
CLU,-1.146971799,1.67663E-08
GIMAP8,-1.147597,2.78467E-13
NLRP1,-1.150245649,8.25457E-14
TRIM67,-1.150595,2.23188E-16
KIAA1755,-1.150878,1.93766E-08
EZH1,-1.151647421,1.66718E-43
CXCR2P1,-1.152704336,7.3648E-08
CADM1,-1.153613038,5.75141E-18
WDFY4,-1.153955,5.32059E-09
C2CD4C,-1.154248,1.08646E-14
STRC,-1.154412,5.53485E-09
PARVG,-1.154904,1.64668E-10
EPS15,-1.155022692,2.11969E-29
SCUBE2,-1.155333,1.74196E-10
ITGA3,-1.156163895,1.61433E-13
LFNG,-1.156638849,5.12286E-15
TAPBP,-1.160205977,8.40763E-30
TCF7L2,-1.160466799,4.6722E-11
STAT2,-1.161725453,9.53372E-29
TMEM150C,-1.161832,3.4814E-19
GSAP,-1.162019,1.15388E-21
IL10RA,-1.162117189,1.10758E-14
AFAP1L2,-1.162157,3.08536E-15
CTSS,-1.162487586,3.74196E-10
CD2,-1.162621977,1.63503E-06
TFAP2E,-1.165348,4.79232E-09
CNTNAP1,-1.165361556,2.59356E-22
MTMR9LP,-1.1655,7.22708E-28
PHF11,-1.166067796,9.77517E-23
KIAA1522,-1.167054,5.05333E-25
PCDH1,-1.16708968,3.04662E-26
ATHL1,-1.167257,7.82702E-07
PRKCZ,-1.167956674,1.64696E-22
PPP2R2C,-1.168378992,9.0117E-09
MAP3K5,-1.171070585,1.66504E-16
PTPRU,-1.171232355,5.14528E-08
SHOX2,-1.171574554,4.61773E-06
TNC,-1.172028022,6.24285E-09
CPNE2,-1.172579,2.46668E-20
CD163L1,-1.174512,1.11512E-07
AHDC1,-1.17456867,6.37253E-37
TTC39A,-1.175989347,1.73905E-08
NALCN,-1.176105,2.04827E-17
KIAA0226L,-1.176907,5.73956E-11
DGKA,-1.177668931,4.5402E-14
EPHB6,-1.177670111,4.18533E-12
PLXNB3,-1.178085462,6.72718E-11
MAN1C1,-1.17963,8.58714E-12
PTN,-1.17983819,1.91719E-09
SPRYD3,-1.180508,3.39345E-21
ST3GAL1,-1.181843183,1.30351E-22
LCP2,-1.181944749,1.0275E-13
SLC1A3,-1.182308371,8.86891E-08
SLCO3A1,-1.182646183,4.97634E-11
ZDHHC18,-1.182912,2.39181E-26
NCOA7,-1.183402,2.72311E-24
FGD3,-1.185976,1.01018E-09
DEF6,-1.186938153,3.71975E-11
DOCK2,-1.1869589,3.9821E-13
RGS1,-1.187874281,1.94771E-07
PCDHGA6,-1.188753,1.99298E-11
TH,-1.190242973,8.10721E-07
CNTNAP2,-1.190905112,4.57115E-08
NFKB2,-1.19187226,7.00156E-15
FLII,-1.191875792,2.41716E-47
CLSTN1,-1.191947119,6.503E-35
PTGER4,-1.192454312,4.30323E-11
FAM69A,-1.194268,5.71852E-14
CATSPER2,-1.195787,4.6637E-23
F3,-1.196747856,1.3199E-07
PLA2G7,-1.197336503,4.06116E-11
IL11,-1.200558079,3.22749E-07
ZFPM2,-1.200981281,3.79548E-12
HRH1,-1.203160918,6.54271E-08
SDC3,-1.204669346,7.28966E-20
SYBU,-1.205626,4.5185E-18
GPNMB,-1.206403632,8.77412E-12
MAP7D1,-1.20719,1.74055E-36
RIN2,-1.207578,7.28455E-31
TMEM130,-1.20773,1.75392E-19
FOXH1,-1.207787833,1.73397E-23
INPP1,-1.207970243,2.09424E-41
PIP5KL1,-1.208042,2.31595E-23
MYO1F,-1.208593589,2.93986E-17
IKZF1,-1.209361359,1.95507E-08
IL2RG,-1.209768045,6.13923E-07
COL11A2,-1.209868598,1.31524E-11
CLSTN3,-1.210145356,2.44335E-30
SPRY1,-1.211065992,3.11938E-12
ACADVL,-1.21223313,1.08663E-34
CAMTA2,-1.21258039,1.49719E-59
AHNAK,-1.212845,7.1231E-15
IGFBP5,-1.213412312,3.30701E-11
LEF1,-1.21351419,5.6115E-08
UNC13D,-1.216022,1.45719E-12
TMEM191A,-1.216881,8.31312E-14
SNX20,-1.217757,1.98754E-10
CSF1R,-1.219849563,3.06581E-13
PALM3,-1.221369,1.09757E-08
FLCN,-1.224541,7.25708E-41
ACHE,-1.224969109,1.62178E-07
ZBTB46,-1.226061,2.85712E-28
DLC1,-1.226175098,5.61857E-18
IGIP,-1.226611,2.65825E-33
BMP8B,-1.226834242,3.23534E-08
CCL2,-1.227467387,4.85353E-08
VPS13C,-1.229559,5.42222E-35
CD74,-1.229719579,8.20385E-10
CLCN6,-1.231820687,2.95516E-56
KLF4,-1.232481776,2.78595E-06
ELFN1,-1.233566,2.42365E-08
C1orf228,-1.233807,5.46127E-17
SGSM1,-1.238999,1.77847E-30
SCNN1D,-1.239097577,1.63713E-24
IQSEC3,-1.239469,9.59878E-17
ARHGAP15,-1.239923,7.36171E-11
RASSF4,-1.240103,1.26207E-17
MBP,-1.240267331,2.01327E-12
SH3D21,-1.240297,1.10044E-15
TTLL7,-1.241787,6.14423E-29
ZCCHC12,-1.242774,1.76366E-13
RAB37,-1.243215,1.16232E-06
ACAP1,-1.243983852,1.08985E-07
CCDC24,-1.244124,6.08184E-14
MKNK1,-1.244144063,1.0037E-53
ABCA7,-1.247364087,2.39677E-13
FBXO44,-1.249813,1.99048E-31
STAT3,-1.249919527,9.39235E-37
SCN9A,-1.253440837,7.29107E-23
CTSH,-1.253816401,1.08788E-10
TEKT2,-1.25417563,2.58999E-13
SEPP1,-1.254200486,5.05534E-13
PCED1B,-1.25438,1.11505E-11
FKBP6,-1.255798363,8.33297E-13
TFEC,-1.25616809,1.73904E-09
GGT5,-1.260016462,4.0895E-13
DBH-AS1,-1.261498,1.51496E-17
CYP46A1,-1.263086124,7.8296E-12
HRK,-1.264431663,6.23935E-16
FBLN7,-1.265782,1.56471E-17
GPR183,-1.26592536,5.85598E-08
ICA1L,-1.267392,1.63884E-44
TPPP3,-1.268235,4.73547E-08
LPL,-1.269611105,6.70599E-10
RTN4RL1,-1.270538,3.83537E-09
VAT1L,-1.270726,2.05813E-10
GNG12,-1.271594,1.35398E-18
DDC,-1.271806672,7.48811E-08
ASGR1,-1.272699558,3.78132E-15
PHYHIP,-1.274206294,1.00232E-18
CTNND2,-1.274224195,2.70035E-24
PAK6,-1.275869,1.05142E-10
UBASH3B,-1.276701,5.73098E-12
ITGA7,-1.276858971,1.03484E-17
TMIE,-1.27756,9.27411E-16
RNF11,-1.278295276,1.5603E-27
C1orf63,-1.280222,4.53222E-44
SFRP1,-1.285448413,1.03248E-12
IRF8,-1.286233532,1.50035E-12
PTCH2,-1.287081144,6.62768E-14
KLHL6,-1.287223,1.10484E-11
PRR5,-1.288298,2.10543E-15
CD4,-1.290012137,6.11458E-16
VWA7,-1.290523,8.21667E-17
RASD1,-1.290715,2.26675E-11
UBE2Q2P1,-1.29074,1.76254E-30
CRYAB,-1.290816634,4.60577E-08
ARHGEF6,-1.291594828,7.87197E-17
GABBR1,-1.29254206,5.14966E-54
SRCIN1,-1.294513,7.01188E-55
CYR61,-1.295880781,1.84379E-08
ZNF365,-1.297695957,3.636E-14
NTM,-1.298772257,1.22507E-10
ZHX2,-1.299045383,4.47317E-28
AOAH,-1.299440917,4.40353E-16
EDNRB,-1.300391053,2.15828E-15
DGKB,-1.302288653,3.86369E-08
ZAP70,-1.303331623,1.09411E-07
FOSB,-1.30417452,0.000178769
SLAMF8,-1.304345,5.48174E-10
SERPINB9,-1.305206734,5.44452E-18
BCL6,-1.307174502,1.43514E-14
HLA-DQA1,-1.308224306,5.97464E-08
CYBB,-1.308839528,3.94485E-14
PCDHGA5,-1.309019,2.68055E-08
SYT5,-1.30903842,3.71278E-10
TGFBR2,-1.310778071,1.10254E-15
CECR1,-1.31132,8.6512E-20
CACNA1G,-1.312403294,2.94828E-07
TEK,-1.313189141,1.80745E-17
LACC1,-1.313249,1.22426E-13
OLFML2A,-1.314512,2.05197E-11
MIR137HG,-1.314539,6.19463E-15
SAMD9,-1.315462,2.04954E-14
FAM65B,-1.317634523,2.33731E-08
CDRT4,-1.318281,4.37809E-13
