Gene_Symbol,logFC,PValue
HMGB3,1.809947136,3.52E-47
CUX2,1.807221338,1.92E-11
ETV1,1.801354263,3.07E-07
ORC6,1.799784274,4.00E-40
POLE2,1.795888957,6.46E-38
KIF4A,1.788396177,2.17E-35
MCM2,1.787259253,8.70E-50
BLM,1.786734121,1.33E-30
NCR3LG1,1.782124,2.09E-12
MTHFD2,1.782021746,1.75E-30
FBL,1.780493319,1.66E-35
FAM84A,1.779546,8.33E-08
PTTG1,1.777982388,6.50E-31
RPS11,1.777209769,6.96E-34
E2F1,1.775794718,8.20E-35
FEN1,1.773855894,1.36E-43
TMEM97,1.773555615,1.97E-28
FBXO17,1.771532,2.83E-12
MCM10,1.767508595,1.22E-31
TK1,1.759225423,6.59E-29
RPS7,1.75826095,3.43E-31
FZD2,1.752926631,1.58E-08
ASS1,1.751620725,2.19E-09
BAMBI,1.751289207,9.42E-14
AURKA,1.750261218,1.77E-33
DLGAP5,1.747212622,8.77E-29
GAL,1.746995966,8.16E-08
NME1,1.74682687,2.94E-40
SMO,1.742719124,1.15E-16
RPS21,1.742376595,1.16E-31
DANCR,1.741066541,1.04E-30
RPL18A,1.739618024,7.72E-29
ERCC6L,1.739283273,3.20E-12
CDCA4,1.738686886,4.90E-40
AHCY,1.738290512,4.75E-38
SAPCD2,1.736322,2.54E-29
CEP152,1.733400527,3.28E-25
STRA6,1.731554,3.05E-07
ABCC4,1.73068465,1.29E-18
ZNF876P,1.721431,1.53E-12
GSTO2,1.72092,1.19E-08
COL26A1,1.716471,3.48E-10
RPS2,1.715886912,3.14E-33
FAM72C,1.705102,2.36E-17
AURKB,1.701090766,5.77E-25
RMI2,1.694151,9.50E-36
CDCA2,1.693207,6.05E-23
EEF1B2,1.691618939,3.75E-28
FAM72D,1.689915,2.11E-17
SGOL1,1.689324,7.57E-22
MRPL11,1.688344,5.95E-48
RNASEH2A,1.687423447,4.51E-43
FAM19A5,1.685654313,1.68E-12
CCNB1,1.683210596,4.79E-34
ZNF90,1.682767148,5.63E-19
HJURP,1.678333166,2.21E-33
SNHG1,1.677769591,5.83E-25
SKA3,1.676519,6.28E-30
RPS17,1.67400503,8.34E-27
SLC16A1,1.671663039,9.04E-32
SST,1.670979256,8.64E-04
SLC29A2,1.667696105,5.55E-22
NCAPH,1.667610325,1.92E-32
ASPM,1.667343,4.71E-25
CDK1,1.66573418,9.53E-28
CENPE,1.663772102,8.25E-20
RPS15A,1.661904856,1.39E-33
KIF18A,1.661626,6.44E-23
CHAF1A,1.661466236,3.04E-42
H2AFX,1.66119017,5.01E-30
SNRPE,1.657714258,1.63E-32
PLK4,1.653698238,1.41E-36
CCT2,1.651458365,7.01E-11
SNORD3A,1.651412,4.04E-07
RPS13,1.649060066,1.44E-36
ZNF732,1.648013,1.87E-11
CENPN,1.642462074,1.40E-26
ASPDH,1.639627,1.74E-12
HAPLN4,1.63245,3.28E-13
RPS3A,1.631191151,3.83E-29
PDZRN3,1.631095752,3.17E-10
TMEM74B,1.62002676,8.51E-13
PAICS,1.617742328,4.74E-40
DSCC1,1.617631,4.09E-30
HMGB2,1.617064592,1.28E-36
PPP1R14B,1.615765141,1.22E-42
KIF20A,1.61435843,4.52E-30
VRK1,1.608770145,1.30E-31
TYMS,1.608009309,1.78E-32
NRGN,1.604242132,5.27E-12
RPL13AP5,1.601835,4.82E-28
RPS15,1.596643378,4.32E-30
ENDOG,1.596023767,3.73E-26
KIF18B,1.589857,1.63E-23
RNU4-2,1.588166823,2.32E-03
RPL29,1.587939542,1.08E-23
PLK1,1.585500826,1.77E-36
IRX5,1.583004035,3.78E-07
SNORA12,1.582856,2.50E-04
CENPM,1.582087,3.73E-29
CBLN1,1.581176628,9.80E-15
RPS16,1.573559343,6.51E-32
SH3GL3,1.571199478,1.82E-10
RPL9,1.570084279,5.13E-24
SLC27A2,1.562069556,6.05E-13
RPLP1,1.556358607,6.91E-31
DCTPP1,1.554297,2.58E-36
TMSB15A,1.552345828,4.51E-26
EFS,1.552266148,1.69E-12
RPL18,1.551902031,6.76E-30
RPL35,1.549106155,5.31E-27
GAS5,1.547803867,7.85E-17
PHF21B,1.547658,4.04E-25
RPS3,1.54726927,3.75E-23
BUB1B,1.546891222,1.02E-31
ARHGAP11A,1.546310293,2.37E-24
TNFRSF10B,1.545727915,4.13E-17
NOL10,1.54564,2.74E-10
ARSG,1.544523624,7.54E-12
TRIM59,1.543448,9.28E-33
SLC12A8,1.541642,1.18E-08
MELK,1.539535961,9.61E-29
LRBA,1.538816198,3.73E-18
GMPS,1.538782942,1.49E-42
RPS29,1.538680839,2.86E-28
NME1-NME2,1.536446404,6.63E-33
TPX2,1.536175064,1.64E-31
CCNB1IP1,1.533194566,3.08E-19
RPLP2,1.532631061,3.81E-30
RPS5,1.528360005,5.58E-25
RPL13A,1.527947206,5.25E-28
FAM162B,1.527725,1.55E-06
FEZ2,1.527636183,8.58E-07
RPPH1,1.526873,1.96E-09
CDC25A,1.52598612,6.63E-28
PARPBP,1.524921614,3.75E-21
RPL38,1.524491832,1.77E-30
SPC25,1.522439044,2.58E-26
RAD51,1.522162338,7.31E-30
PIF1,1.520801,5.93E-24
RPL13,1.520658132,8.90E-25
MIR17HG,1.520496,7.18E-13
FAM86C2P,1.513723,1.38E-18
MPV17L,1.513058,1.26E-15
CCNA2,1.512591194,2.78E-31
RPLP0,1.511499273,9.70E-31
CSRP2,1.505763344,1.73E-19
MYOZ3,1.505333,5.97E-13
NR2F1,1.499328788,1.14E-06
EIF4EBP1,1.497671055,3.64E-35
MKI67,1.496900938,5.57E-22
ZFAS1,1.495519,8.95E-18
CENPW,1.492981,9.75E-25
FAM64A,1.491977557,3.88E-21
PRDX4,1.491680353,1.22E-37
BUB1,1.490916868,8.71E-27
PDGFRA,1.487189322,2.21E-08
RPL13AP20,1.486991,1.57E-19
TRIP13,1.484996147,2.60E-32
TEAD4,1.484913574,3.35E-19
CDCA7,1.483687,1.76E-31
RPL37,1.483195586,1.88797E-24
ADAMTS17,1.481243,2.72E-09
HRH3,1.480973924,1.75E-14
ZNF121,1.48072375,3.28E-36
HIST1H2BH,1.478999203,2.60E-08
E2F8,1.477543,3.52E-12
SNRPD2,1.47702428,3.57E-34
CBS,1.476244234,2.79E-17
MIS18A,1.472701352,1.94E-35
PMCH,1.471995752,1.57E-19
SLC35G1,1.47147,2.61E-10
TENM4,1.470125965,1.38E-08
C4orf46,1.46844,2.90E-36
RPSA,1.468234343,9.89E-24
FLNC,1.466826035,1.19E-08
TMA16,1.466519996,1.17E-28
POLA2,1.463188456,9.21E-43
KIF11,1.46274157,1.38E-23
FAM72B,1.46202,2.17E-18
PBK,1.461921185,9.77E-23
RPS19,1.460341267,1.12E-29
CDC20,1.457977322,1.58E-19
RPS24,1.453312755,1.23E-20
RPL24,1.452792463,2.55E-25
RAD51AP1,1.452077433,3.69E-25
LINC00221,1.449457,1.62E-07
RPL39L,1.448926,2.15E-16
LY6H,1.44640994,1.98E-04
WDR62,1.44378,6.55E-27
RPL35A,1.443317545,3.10E-24
IGF2BP1,1.442801667,1.19E-08
GINS1,1.442600097,7.21E-34
PKMYT1,1.442045452,1.04E-27
ANKRD36BP2,1.44035,8.47E-09
DTL,1.440337656,1.59E-27
HSD17B6,1.439167766,1.79E-09
NUF2,1.438449,1.10E-22
FOXM1,1.43697647,2.38E-24
H19,1.434196,1.03E-07
MIR7-3HG,1.433562,4.14E-12
BZW2,1.431687061,1.16E-29
SLC35F2,1.430476655,5.38E-11
CDKN2A,1.430451024,1.17E-07
FANCI,1.428191338,3.80E-30
GMDS,1.427876772,3.67E-13
RPL27A,1.426877084,1.39E-30
ASF1B,1.425521581,4.00E-23
NETO2,1.425415,3.82E-20
RPL32,1.42393312,1.08E-19
HBA1,1.423224819,5.77E-05
CEP55,1.423132323,1.67E-19
RPS27,1.421341794,1.40E-27
DHFR,1.419691434,7.34E-30
RAB33A,1.419587293,4.69E-27
RPS4X,1.418900306,8.09E-22
MCM6,1.41482085,1.12E-30
METTL1,1.412690223,4.74E-12
GSG2,1.411365,6.19E-14
KRT18,1.41036758,1.78E-08
LYVE1,1.409905465,2.97E-06
PAGE5,1.408249,7.14E-03
KLF15,1.406140966,5.73E-10
UNG,1.405515735,2.08E-38
CDC25C,1.402437697,3.08E-21
NME4,1.400773391,1.04E-37
PCNA,1.399696284,1.24E-34
POC1A,1.399683217,3.84E-24
CENPH,1.398743,1.74E-25
TACC3,1.398185553,7.94E-38
SCARNA13,1.397611,4.96E-09
SSR4,1.393909726,1.10E-36
POLQ,1.390180024,2.35E-12
FAM101A,1.387513,9.72E-12
RPSAP15,1.386078,6.03E-15
TKT,1.385322526,6.03E-22
SNHG7,1.385257,4.44E-15
MTFP1,1.384828384,5.20E-19
ZWINT,1.383031502,1.42E-26
RRP9,1.381921027,1.56E-23
CHEK2,1.380963766,1.82E-27
ARC,1.380521834,1.10E-09
SIX3,1.378203286,2.96E-06
KIF23,1.377325405,1.48E-25
HMGA1,1.37684519,1.92E-29
E2F3,1.373934511,3.63E-30
ZNF239,1.372544522,7.99E-22
UBE2T,1.367296513,1.50E-31
POLD1,1.366537051,2.75E-33
OIP5,1.365890085,1.11E-19
CITED1,1.36446252,1.03E-11
IGSF9,1.363990866,3.67E-17
FAM65C,1.362581,1.92E-07
ESCO2,1.362139,4.20E-17
ECT2,1.360458874,1.31E-27
RPS28,1.359827433,8.27E-24
CALN1,1.359577,9.05E-07
ITPRIPL1,1.359466,8.71E-22
MAB21L2,1.357625368,3.94E-08
LDHB,1.353731249,9.71E-24
TANC2,1.351441123,1.02E-07
RASL10B,1.346766,1.09E-20
RPL10,1.345820607,5.38E-28
KIFC1,1.345718576,8.46E-22
SLC25A5,1.345358626,2.46E-47
ESPL1,1.345236209,9.35E-23
STK33,1.344487,5.76E-13
FAM72A,1.343404,1.08E-16
YEATS4,1.343395768,5.25E-09
PCOLCE,1.342234962,2.95E-17
EME1,1.342162,3.21E-17
CEACAM19,1.34207721,1.85E-07
SNRPD1,1.341923536,2.44E-33
PDK1,1.341231234,5.88E-17
RPL34,1.34041462,2.26E-22
SHMT2,1.336977108,1.24E-15
CMBL,1.33652,5.79E-15
RPS25,1.334971316,1.59E-20
PTGIS,1.332682111,6.02E-10
NDC80,1.332084711,2.35E-24
RPL31,1.325058027,1.12E-20
PRR22,1.322998,8.08E-10
SNRPF,1.3222658,1.57E-34
FAM111B,1.318598,1.85E-12
SUV39H2,1.317591,9.04E-25
KRT8,1.316730399,1.48E-05
NEK2,1.315912259,9.33E-19
RPL7A,1.315544126,1.91E-22
LRR1,1.31397,3.25E-29
RPL28,1.313460983,4.00E-28
NUDT1,1.3126127,1.51E-22
SNHG8,1.312484,1.63E-14
RPL14,1.311933082,7.76E-21
GTSE1,1.311608114,1.17E-22
IQGAP3,1.311112,4.68E-18
MRPL21,1.310784,5.11E-14
SLCO5A1,1.310529,2.00E-10
RPL12,1.308970021,5.03E-21
RPL23,1.30871429,2.55E-22
GNB2L1,1.306492079,3.12E-22
DBF4,1.305743141,5.30E-29
PPEF1,1.305546863,1.86E-07
CAMKV,1.305209,7.14E-14
BAI1,1.304091376,9.14E-15
BOLA2,1.30224,6.65E-18
GMNN,1.298994907,2.32E-26
VWCE,1.297153,7.45E-14
ZNF93,1.296609,3.94E-20
H2AFZ,1.29458119,4.99E-38
RPS10,1.294269512,1.85E-22
WDR43,1.291786681,3.85E-13
CDC42EP3,1.290726057,8.20E-12
RPS6,1.288651252,2.92E-19
SNHG16,1.287771,5.96E-30
TMEM100,1.287441514,7.04E-05
SIX3-AS1,1.286628,3.32E-06
GPR125,1.286245,3.70E-27
ZNF703,1.286041,9.76E-10
SAP30,1.285943839,8.47189E-37
APEX1,1.285340244,4.27E-32
PUS7,1.284294398,6.05E-22
MLLT10P1,1.283281,2.42321E-10
CENPI,1.28288002,4.74E-15
RPS9,1.280365839,1.43E-24
AEN,1.278218,7.96E-28
DEPDC1,1.275301964,7.71E-13
DDX39A,1.274595698,5.94E-41
ATF5,1.274394146,1.25E-11
IMPDH2,1.273078951,2.59E-19
EEF1G,1.272866426,8.60E-24
RTKN2,1.269093,2.20E-16
FBXO5,1.267575655,1.61E-24
TPBG,1.266740199,2.12E-05
NPM3,1.265376009,5.10E-22
PYCR1,1.265310426,8.66E-32
RUVBL1,1.263749403,4.25E-39
B3GNT5,1.263727,3.44E-15
ATAD2,1.263262359,3.74E-21
NUSAP1,1.26319181,1.65E-21
TROAP,1.262801958,2.87E-18
RPS18,1.262519957,6.55E-19
RFC4,1.261682365,7.40E-43
LDHA,1.260674138,8.68E-22
RPS20,1.259925672,8.35E-26
RPS23,1.258157895,8.48E-22
RPS14,1.254623319,2.18E-21
C14orf39,1.254424,7.81E-08
EBPL,1.253534,2.51E-18
SMC4,1.253490043,3.42E-23
FAM201A,1.252967,2.25E-08
MDM2,1.252857398,8.12E-07
BMP7,1.251611704,4.21E-05
CDC6,1.25107766,1.41E-16
RPL41,1.250734168,7.48E-24
KCNK9,1.250728836,5.47E-06
C11orf82,1.248901,2.19E-13
IGFBP2,1.247206212,5.64E-13
ALYREF,1.246764695,1.41E-33
TGIF2,1.243425439,1.69E-13
KNTC1,1.235297057,5.91E-16
ZNF581,1.233334808,4.38E-22
TOP1MT,1.231892,7.35E-15
RRM1,1.231194263,2.60E-34
CBLN2,1.231187,1.99E-04
IGHG1,1.229003,4.39E-03
SERPINF1,1.228464724,1.16E-08
FBXO43,1.226693,2.43E-08
RPL37A,1.226470353,4.94E-19
GJC1,1.225024785,3.55E-24
EXOSC5,1.224944252,7.97E-21
SKA1,1.223677,9.72E-18
CASC5,1.223353532,3.07E-15
ZBTB12,1.22322,2.99E-27
ZNF367,1.222786,4.74E-18
EPB41L4A-AS1,1.221313,1.12E-11
TTK,1.219498191,1.21E-16
MDK,1.219476133,4.08E-26
LY6E,1.218623241,5.85E-11
HSPD1,1.215533679,1.45E-27
SLC25A6,1.215432144,7.09E-19
C17orf89,1.214579,2.98E-26
MCM5,1.213587396,1.07E-28
TOP2A,1.213476976,6.87E-14
PRR11,1.213042181,1.05E-16
SCAI,1.212026,1.24E-07
ATIC,1.211824246,2.69E-28
SIVA1,1.209580292,2.22E-29
ZNF850,1.209298,4.57E-07
NOB1,1.207579721,1.60E-24
ZNF587B,1.207493,1.60E-16
PAM16,1.205423672,9.48E-30
TIMELESS,1.204474714,6.04E-30
C4orf21,1.203431436,5.61E-20
CENPK,1.202704346,3.56E-25
F12,1.200642601,2.42E-13
GPR158,-1.019588174,2.32658E-10
ARHGAP21,-1.020136833,9.72288E-30
HLA-DQB2,-1.020274106,4.57162E-05
ROBO2,-1.02089176,1.0827E-05
MKNK1,-1.021110305,4.504E-27
MAPK11,-1.022432945,1.06858E-22
AFAP1L2,-1.023983,1.43318E-13
SLC26A11,-1.024201,3.81273E-26
CYR61,-1.025476544,6.52757E-06
ABLIM2,-1.027346,3.5025E-24
MAPRE2,-1.028169649,2.94978E-33
PRKAG2,-1.028421622,3.00888E-29
AHDC1,-1.029422638,3.88734E-24
SFRP1,-1.029858358,8.17842E-09
CPEB4,-1.030328,3.17564E-21
IGFBP5,-1.03045395,2.68086E-08
SCNN1D,-1.030863316,3.39838E-17
MICALL2,-1.031122,1.58071E-09
PTPRN2,-1.031554794,4.07115E-25
TEPP,-1.032392,9.76133E-09
MBP,-1.032735207,4.29636E-08
CHRNE,-1.033526489,2.10288E-09
AKR1C1,-1.033781581,1.08311E-12
ENDOD1,-1.034607192,2.46381E-12
SYNGR1,-1.035910078,5.73209E-36
PLA2G7,-1.0359847,1.33045E-08
SERPINB9,-1.036866089,1.72387E-10
OLFML2A,-1.037128,7.5993E-08
RIN2,-1.038615181,1.83188E-21
HSPB8,-1.038798804,1.53446E-07
BEND6,-1.03912,4.2679E-11
MYO7A,-1.039435481,2.97208E-14
MCF2L2,-1.039440223,8.79487E-22
CHRNB4,-1.040414605,1.62287E-14
C1orf63,-1.041206084,1.83222E-21
DPYSL3,-1.041974687,9.5499E-19
TPT1-AS1,-1.04428,2.05774E-26
PLEKHB1,-1.045046368,1.11775E-05
GCH1,-1.046638827,6.04927E-10
SCN3B,-1.047201243,7.40505E-18
SLC1A3,-1.048746905,2.77676E-06
CPNE4,-1.049503,5.13424E-05
SRRM1,-1.049816863,1.9714E-29
PJA2,-1.050156234,5.02453E-52
TRIM36,-1.050830678,7.1596E-15
MAP6,-1.051173827,4.0569E-23
EPB41L4B,-1.051435341,5.79601E-16
TREH,-1.052548102,8.28851E-26
CCDC132,-1.053187878,1.98317E-30
CROT,-1.053492962,8.23321E-17
CAMTA2,-1.056643584,4.14871E-47
SDK1,-1.058611,2.54324E-13
DST,-1.059045656,6.25812E-45
PYGM,-1.059241798,2.15765E-08
EPHB6,-1.061076868,1.2855E-10
TUBA4A,-1.061308827,1.10602E-06
ABCA7,-1.061466831,1.4142E-10
ARHGAP22,-1.061722789,2.72457E-13
GNG12,-1.062529731,3.87118E-14
PRPH2,-1.062805519,1.19325E-07
STMN2,-1.066916645,1.66706E-21
FAM131B,-1.068208686,2.62504E-36
ATP2A3,-1.06838088,7.48139E-08
KIAA1107,-1.068705492,1.99063E-18
PNMA2,-1.069858693,2.56568E-41
TH,-1.071107407,5.43003E-06
F3,-1.072083763,4.19826E-07
HECW1,-1.073931173,1.37301E-15
DENND6B,-1.075493,3.51054E-27
TTLL7,-1.077125,4.32715E-19
HRH1,-1.07722395,1.05524E-06
STAT3,-1.078030386,1.1173E-24
LINC00087,-1.079327,1.85956E-08
ADH1B,-1.079411585,0.000163988
STX12,-1.080022411,3.84735E-41
IGIP,-1.081454,1.03067E-28
IL7,-1.082077299,0.000118979
COL7A1,-1.082132605,1.10742E-08
IQSEC3,-1.082589,2.07702E-11
NDRG4,-1.089226,7.00236E-33
LYZ,-1.089403248,6.43688E-06
FLII,-1.09028465,8.39592E-39
RASSF4,-1.090559,4.14845E-12
MAPT,-1.090710459,8.18914E-25
TMEM191A,-1.090913,1.14123E-12
CCL2,-1.09171585,9.05761E-07
CSPG5,-1.092030702,2.43037E-18
ATP1B2,-1.092255563,4.92482E-09
PCDHGA6,-1.094307769,8.02208E-10
NYAP1,-1.095167,1.16784E-24
FBLN7,-1.09528,7.58384E-14
CDH3,-1.096366806,5.13594E-14
THRA,-1.096755753,1.156E-33
TMEM150C,-1.097371,6.08084E-19
ALDH3A2,-1.098118865,7.83592E-52
ATP1B1,-1.098259509,3.42469E-15
ATP13A2,-1.099259926,2.4067E-31
KIF1B,-1.099525865,1.50572E-47
ITGA3,-1.099864171,1.13955E-12
FOXO1,-1.100020188,4.76427E-13
ZBTB46,-1.100138,5.2267E-22
FYB,-1.100730009,3.89111E-07
PDZD7,-1.101953,2.12749E-09
APLNR,-1.102845666,1.93574E-09
RUNDC3B,-1.104633,1.89781E-30
PARK2,-1.105422993,3.87566E-09
C20orf194,-1.105681964,5.85391E-50
EPB41L1,-1.106120232,1.87213E-26
AOAH,-1.106686246,1.62571E-10
CNTN1,-1.106827889,8.32689E-08
UBASH3B,-1.107745,1.52642E-10
OPTN,-1.108142072,7.78169E-31
AMICA1,-1.108807,3.3318E-07
RTN4RL1,-1.109382,1.1157E-07
PLEKHA8P1,-1.109991545,1.36418E-20
ME1,-1.110673324,1.06036E-22
EPS15,-1.110788109,1.20802E-28
CAPN3,-1.112876209,3.13244E-17
ARHGAP15,-1.113357362,1.80578E-09
QPCT,-1.113774126,1.62858E-10
ZFR2,-1.115921389,1.12198E-07
TPRG1L,-1.11647,6.17239E-21
LINC00174,-1.117074,1.41132E-24
PINK1-AS,-1.11807,7.20025E-34
BOK,-1.119637155,6.20822E-15
PIP5KL1,-1.120086,7.89923E-22
SLC45A1,-1.122977931,8.98318E-16
CHRNB1,-1.124669331,8.33073E-24
CLCN6,-1.126683663,1.1102E-41
EDNRB,-1.127929524,9.76714E-13
RFPL1,-1.12832984,8.22184E-20
DIRAS2,-1.129969866,3.29626E-12
CACNA1D,-1.130527054,5.21139E-14
PNMAL2,-1.131377464,2.13511E-17
NTM,-1.131899544,6.35752E-09
MASP2,-1.132135436,1.59387E-14
GAP43,-1.132502119,4.33303E-13
KLHDC9,-1.133983,1.85924E-22
ZFP36,-1.13428262,1.40224E-06
MAP1LC3A,-1.135354,1.0516E-25
WSCD1,-1.138471663,4.93557E-13
INPP4B,-1.142716444,5.10652E-11
FAM102B,-1.143228,1.01999E-34
ZHX2,-1.143241151,1.44189E-24
INPP1,-1.144442948,2.11023E-41
ANO6,-1.14449,4.97384E-23
LACC1,-1.145004,4.40743E-12
ST3GAL1,-1.14578824,1.21168E-21
SRCIN1,-1.146407,4.34604E-36
SNCA,-1.146681758,1.3467E-09
GABRG2,-1.146861865,5.83869E-06
CADM1,-1.146946319,1.28798E-18
FOXH1,-1.150873453,1.17508E-22
CASZ1,-1.151705013,4.45714E-07
SYNGR3,-1.153546637,1.34291E-22
EPHB3,-1.154591029,1.29599E-10
PCDH1,-1.155407469,3.59067E-27
TPPP,-1.156005487,2.92452E-32
ICA1L,-1.156525,5.38347E-32
VAMP2,-1.15825699,4.75214E-65
C11orf63,-1.15837,4.50867E-15
C2CD4C,-1.159142,3.72841E-14
WIPF3,-1.160533,2.62008E-08
TEK,-1.161202433,4.11587E-15
SEPP1,-1.163675188,1.0644E-11
CBX7,-1.164001406,2.88932E-19
MAMLD1,-1.166404912,1.96079E-13
REEP5,-1.166593921,2.91165E-61
SPRY1,-1.167378168,6.60578E-13
TEKT3,-1.167584,1.02139E-10
FAM174B,-1.17164,3.29731E-31
FBLN5,-1.172445065,8.47507E-08
TMIE,-1.174911,8.05354E-15
HID1,-1.176536,4.78718E-20
PLEC,-1.180447604,3.62598E-27
DPP6,-1.18083714,2.05914E-12
VWA7,-1.181928,3.57772E-16
KLRK1,-1.184250632,5.90421E-07
GNAI1,-1.184392537,6.51031E-35
VSTM2L,-1.184481,1.2908E-09
VPS13D,-1.184796519,3.40069E-25
C8orf4,-1.189062312,6.46463E-11
DLC1,-1.189590199,9.82085E-17
FBXO44,-1.190176,5.28744E-35
SYT17,-1.192227529,2.61632E-19
GPR183,-1.192979096,4.10353E-08
CLSTN1,-1.193399326,1.09399E-39
SRRM3,-1.195274,2.88795E-22
DPYD,-1.196249817,3.53551E-24
PRKACB,-1.196268325,1.01506E-27
RPH3AL,-1.198689124,4.68374E-20
TCF7L2,-1.199033163,8.03645E-16
LAMA4,-1.199033853,2.08107E-16
FAIM2,-1.199315477,3.63083E-29
KCNC3,-1.200493152,1.11319E-14
BCL6,-1.201087658,1.00385E-12
SLCO2B1,-1.20111961,1.38199E-12
CRIP3,-1.201355,1.02911E-20
ROBO3,-1.202079,1.71775E-16
ABCC3,-1.203540825,1.96624E-12
PPP2R2C,-1.205169298,1.66951E-09
ELFN1,-1.205922,1.72072E-08
VCAM1,-1.208076594,7.15478E-11
ENTPD3,-1.209827983,2.62625E-06
MYO15A,-1.210502738,1.32366E-06
LPL,-1.210688207,9.2463E-10
DKK3,-1.212077293,2.87168E-16
FMNL1,-1.212570506,2.48698E-17
HRK,-1.212627441,2.59208E-14
DGKB,-1.212947536,2.65368E-07
TNS1,-1.213190432,1.43507E-15
CORO2A,-1.216264166,8.40061E-18
BMP8B,-1.2162937,1.55666E-09
RIMS3,-1.216328399,5.68042E-20
INS,-1.220206622,7.23641E-07
PTN,-1.220521367,8.27158E-10
KIAA1522,-1.223328579,6.37169E-31
PAK6,-1.226036103,5.32637E-12
HLA-DQA1,-1.226570152,1.34898E-07
PINK1,-1.229217,1.30167E-32
MPEG1,-1.229999,4.48765E-11
NALCN,-1.230523,4.13053E-19
ARHGAP23,-1.231328115,3.19048E-33
ATP6V1G2,-1.233565626,2.38474E-26
SERINC1,-1.233596329,2.2257E-57
CPNE2,-1.239564,1.07025E-28
BIRC3,-1.240137404,3.8385E-07
